threshold,precision,recall,f1,fpr,tp,fp,fn,tn
0.1,0.714,0.714,0.714,0.028,20,8,8,280
0.15,0.731,0.679,0.704,0.024,19,7,9,281
0.2,0.76,0.679,0.717,0.021,19,6,9,282
0.25,0.773,0.607,0.68,0.017,17,5,11,283
0.3,0.773,0.607,0.68,0.017,17,5,11,283
0.35,0.81,0.607,0.694,0.014,17,4,11,284
0.4,0.81,0.607,0.694,0.014,17,4,11,284
0.45,0.81,0.607,0.694,0.014,17,4,11,284
0.5,0.842,0.571,0.681,0.01,16,3,12,285
0.55,0.824,0.5,0.622,0.01,14,3,14,285
0.6,0.812,0.464,0.591,0.01,13,3,15,285
0.65,0.812,0.464,0.591,0.01,13,3,15,285
0.7,0.812,0.464,0.591,0.01,13,3,15,285
